Loan Application Number,Loan Amount,Loan Duration,Interest Rate,EMI,Borrower Rating by Bank,Borrower's Duration of Employment,Home Ownership of Borrower,Annual Income of Borrower,Borrower's Verification Status,Loan Issue Date,Purpose of Loan,Debt-to-Income Ratio (A ratio calculated based on Borrower's monthly debt repayments to self-reported monthly income),Borrower Delinquency in Last Two Years,Date of Borrower's First  Loan,Number of Months Since the Borrower's Last Delinquency,The Number of Months Since the Borrower's Credit Record  was Updated,Number of Times the Borrower has Availed Loan from the Bank,Number of Negative Comments About the Borrower in Credit History,Total Credit Revolving Balance,Percentage of Credit the Borrower is Using Relative to All Available Revolving Credit,Number of Times the Borrower has Availed Loan from All Banks,Late Fees Received To Date,Last Month Payment was Received,Last Amount Received as Payment,rm_employee_id,Loan Status
33216,24108,41 months,8.73%,682.1272411,AE,4 years,Under Mortgage,555195,Not Verified,18-01-2012,Home Renovation,21.60497357,0,8/11/01,,,13,0,317677,0.65984893,28,164.5947519,1/9/13,485.6672411,2666,???
36202,88143,46 months,7.69%,2218.616907,AE,8 years,Under Mortgage,990549,Not Verified,17-03-2011,Pay Credit Card Bill,13.31467235,0,19-10-2002,34,,8,0,103127,0.61464401,16,0,1/12/14,2612.636907,905,???
29449,159335,38 months,12.51%,5099.680905,BE,10 years and above,Rental,310317,Not Verified,28-01-2010,Pay-off Other Loans,14.98678061,0,23-04-1997,,,3,0,125179,0.695672663,15,0,1/12/12,10801.6409,134,???
40385,220092,60 months,12.72%,4976.383607,BE,2 years,Rental,577331,Source Verified,31-12-2011,Pay-off Other Loans,22.28787629,0,22-11-2000,,,14,0,315356,0.42520103,39,0,1/1/12,4976.383607,522,???
28257,43804,42 months,13.69%,1318.60007,CB,5 years,Rental,402794,Not Verified,9/10/11,Pay Credit Card Bill,15.44189976,0,10/1/98,95,,5,0,38158,0.890515074,11,0,1/2/15,1482.50007,1949,???
35883,54937,37 months,7.32%,1663.223792,AC,9 years,Under Mortgage,609919,Verified,22-01-2012,Pay-off Other Loans,28.0492484,0,1/1/97,,,15,0,220501,0.583667563,35,0,1/2/14,18355.39379,1580,???
31088,61714,39 months,7.69%,1793.490253,AD,2 years,Rental,348344,Source Verified,3/9/11,Pay-off Other Loans,25.10579118,0,3/2/01,,,7,0,27702,0.295466775,13,0,1/1/13,1024.260253,373,???
32155,109941,40 months,8.98%,3190.384705,BA,10 years and above,Rental,1055666,Verified,28-01-2011,Pay-off Other Loans,19.52294212,0,28-12-1986,,,6,0,218575,0.831509462,14,0,1/4/14,3489.144705,3630,???
36126,110751,46 months,16.23%,3249.736967,DA,3 years,Under Mortgage,607714,Verified,18-01-2012,Pay-off Other Loans,16.1491991,0,4/2/04,63,,11,0,180212,0.872652167,17,0,1/9/13,82972.01697,3734,???
37281,55183,47 months,13.96%,1530.884236,CC,3 years,Rental,1077903,Source Verified,13-10-2010,Pay-off Other Loans,15.72766062,0,18-10-2000,,38,5,1,0,0,9,0,1/12/13,14196.39424,3770,???
25311,43847,60 months,10.68%,946.2970651,BD,10 years and above,Under Mortgage,449283,Not Verified,17-03-2011,Pay-off Other Loans,23.91739265,0,23-06-1997,,,12,0,220805,0.735531539,21,0,1/9/15,946.2970651,2057,???
35262,274877,39 months,20.72%,9743.866142,GB,7 years,Under Mortgage,1809632,Verified,14-05-2010,Pay-off Other Loans,17.70405181,0,4/10/91,,,23,0,357390,0.858000599,37,0,1/11/11,182889.3661,2325,???
27343,165175,48 months,16.90%,4757.413489,EC,10 years and above,Under Mortgage,1370894,Not Verified,26-11-2010,Pay-off Other Loans,18.72584428,0,5/12/00,,,11,0,1290086,0.904726113,19,0,1/12/12,297.44,2037,???
38193,92557,39 months,7.98%,2702.292,AD,1 year,Rental,493995,Not Verified,24-10-2011,Pay-off Other Loans,16.44622768,0,24-11-1997,,,6,0,46857,0.640039176,28,0,1/12/14,64.24,2610,???
34224,98831,44 months,12.71%,2821.682367,CA,3 years,Under Mortgage,1422352,Not Verified,18-06-2010,Pay-off Other Loans,6.177036629,0,31-07-2004,36,,8,0,58729,0.66468024,15,0,1/5/12,10284.41237,915,???
29942,155473,39 months,7.84%,4528.732822,AD,5 years,Rental,360815,Source Verified,6/1/12,Pay-off Other Loans,22.23423956,0,18-12-2004,,,11,0,138933,0.619755871,20,0,1/1/14,19944.57282,1013,???
28119,54921,42 months,6.96%,1477.111776,AB,Not available,Under Mortgage,456345,Not Verified,10/6/10,Medical,11.86834077,0,15-06-1989,,,9,0,74258,0.102703693,37,0,1/7/11,43822.49178,3272,???
38180,198050,51 months,13.31%,5105.867014,CC,10 years and above,Under Mortgage,549652.4,Verified,8/4/11,Start Business,13.46718339,0,19-04-1996,,,12,0,222123,0.485307336,35,0,1/12/11,982.7370141,3477,???
24960,264127,42 months,8.04%,7236.37617,AD,6 years,Rental,721342,Verified,1/10/11,Pay-off Other Loans,21.23890517,0,22-06-1990,,,16,0,382543,0.484946518,32,0,1/5/13,175938.4262,3046,???
32606,275173,60 months,14.70%,6503.463455,CC,Not available,Rental,659586,Verified,22-01-2012,Pay Credit Card Bill,17.7505701,0,17-08-1999,,,17,0,294795,0.480058285,32,0,1/9/15,6503.463455,2458,???
31865,132043,58 months,16.02%,3285.141012,CE,1 year,Under Mortgage,664924,Not Verified,22-12-2011,Pay-off Other Loans,11.4442545,1,16-04-2001,6,,15,0,142344,0.616768839,22,0,1/6/13,98695.40101,1921,???
24516,110191,42 months,12.77%,3267.183852,CA,1 year,Own,497979,Not Verified,19-12-2009,Pay-off Other Loans,18.25787567,0,18-02-2002,27,,14,0,126663,0.491233726,27,0,1/12/12,17756.16385,3571,???
38503,45334,42 months,9.90%,1281.630586,BA,6 years,Under Mortgage,668304,Verified,25-06-2011,Pay-off Other Loans,20.59970592,0,13-01-1999,62,,19,0,328783,0.509974171,46,0,1/11/13,12061.41059,494,???
34610,109888,36 months,15.38%,3829.580785,DB,10 years and above,Under Mortgage,418786,Source Verified,25-11-2010,Home Renovation,23.75773587,0,22-11-1993,39,,6,0,117830,0.737102577,20,0,1/4/12,65370.18078,509,???
29010,26340,54 months,16.67%,696.6869279,EC,10 years and above,Rental,401065,Source Verified,30-12-2010,Pay-off Other Loans,12.80418365,1,17-01-2002,26,55,3,1,750,0.050621384,5,158.7785235,1/7/10,1353.166928,678,???
37968,132023,46 months,9.41%,3429.589617,AD,4 years,Under Mortgage,393663,Not Verified,30-07-2009,Pay Credit Card Bill,2.748955488,0,24-06-1987,,,16,0,51149,0.066382564,35,0,1/10/11,282.37,520,???
30112,44175,47 months,15.31%,1255.581025,DB,2 years,Rental,602222,Verified,16-08-2010,Others,20.02860405,0,16-02-2003,,,15,0,70216,0.749898266,18,0,1/6/14,1470.631025,973,???
32849,38425,39 months,13.43%,1221.225472,CB,1 year,Own,234802,Not Verified,27-06-2010,Medical,17.51455998,0,1/8/06,,,5,0,0,0,10,0,1/8/13,1493.365472,3181,???
35517,275062,40 months,11.88%,8360.997113,BC,9 years,Under Mortgage,955556,Verified,13-02-2010,Marriage,11.02862922,0,4/9/01,,,7,0,125353,0.434241616,9,0,1/8/11,173439.7571,1605,???
31515,329865,41 months,16.63%,10600.42735,DC,10 years and above,Under Mortgage,788281,Verified,24-06-2011,Pay-off Other Loans,19.62305086,2,23-03-1995,9,,22,0,100819,0.230676194,50,0,1/2/13,385.99,2738,???
35392,219823,37 months,11.34%,7068.037002,BE,5 years,Own,657091,Verified,22-03-2010,Pay-off Other Loans,14.81454766,0,16-04-2003,,,12,0,142457,0.601873734,24,0,1/2/13,7515.517002,1201,???
38187,121063,36 months,14.10%,4143.512673,CE,10 years and above,Own,3374303,Not Verified,11/2/10,Others,9.911650654,0,5/2/91,,,6,0,669168,0.971999073,35,0,1/5/12,32256.10267,427,???
32206,10836,48 months,11.99%,285.2857574,BE,10 years and above,Rental,380048,Not Verified,12/6/11,Holiday,3.902784869,0,18-03-2003,,,2,0,29179,0.608110312,4,0,1/10/12,285.2857574,3538,???
35654,164866,43 months,14.09%,4905.355902,CE,5 years,Under Mortgage,871809,Verified,26-03-2011,Start Business,8.08954625,0,15-03-2002,51,,10,0,11135,0.072825874,14,0,1/8/14,5372.855902,234,???
24293,171453,60 months,15.76%,4147.919426,EA,1 year,Rental,896280,Not Verified,5/12/10,Pay Credit Card Bill,14.43740061,0,17-02-1998,,,14,0,246937,0.783509897,20,0,1/4/15,28595.30943,2186,???
26799,274806,40 months,7.45%,7779.832228,AD,4 years,Under Mortgage,1488682,Verified,26-09-2011,Pay-off Other Loans,21.84335522,0,16-07-1991,,,15,0,221138,0.611787983,42,0,1/12/12,197918.5722,561,???
38597,120864,43 months,7.69%,3224.944842,AE,10 years and above,Rental,548707,Not Verified,26-06-2010,Pay-off Other Loans,5.0074811,0,30-09-1986,,,7,0,47980,0.171840199,19,0,1/12/10,121258.9048,3860,???
38057,131815,39 months,11.39%,4059.908337,BD,3 years,Rental,696472,Not Verified,15-08-2010,Pay Credit Card Bill,20.86014646,0,27-02-2001,,,12,0,225355,0.822730216,34,0,1/9/13,4362.408337,1570,???
34821,131912,48 months,10.91%,3403.529529,BD,10 years and above,Under Mortgage,1315603,Not Verified,24-05-2010,Others,23.02735845,2,18-01-1996,5,,7,0,825473,0,35,0,1/3/14,3766.969529,2168,???
26772,44138,38 months,9.83%,1356.314036,BA,3 years,Rental,126830,Verified,25-07-2011,Holiday,12.50746584,0,31-08-2001,,,9,0,36361,0.195669455,14,0,1/12/11,14641.67404,3073,???
35656,118723,47 months,6.12%,2847.220906,AA,5 years,Own,499776,Source Verified,19-12-2011,Agriculture,1.881998117,0,11/6/07,,,5,0,21225,0.049494303,11,0,1/1/13,112566.3909,913,???
25712,385070,51 months,16.07%,10469.05068,DE,10 years and above,Under Mortgage,1010392,Verified,13-03-2011,Pay-off Other Loans,13.23119738,0,11/9/92,,,14,0,287162,0.518488029,36,0,1/11/11,34102.44068,661,???
36165,43915,37 months,14.74%,1484.190027,DB,8 years,Under Mortgage,368814,Source Verified,5/5/11,Home Renovation,16.57211055,0,28-04-2008,,,7,0,76246,0.654773185,10,0,1/5/12,714.6300266,2544,???
37010,105762,44 months,13.41%,3056.236398,CA,10 years and above,Rental,467510,Not Verified,21-07-2010,Pay Credit Card Bill,17.53379177,0,16-10-1990,,105,6,1,293776,0.868774515,26,0,1/10/13,17205.2064,2684,???
38747,110131,38 months,16.81%,3757.486081,ED,10 years and above,Rental,281071,Not Verified,21-05-2009,Buy House,4.930220367,0,30-04-2006,,,5,0,64047,0.538923081,5,0,1/1/11,3757.486081,3530,???
36823,88187,37 months,10.03%,2780.743636,BD,6 years,Rental,378586,Source Verified,31-12-2010,Others,6.624287814,0,27-12-2004,,,5,0,82657,0.54265096,5,0,1/11/13,3089.403636,2444,???
30185,219852,45 months,14.51%,6363.05244,DA,10 years and above,Under Mortgage,870012,Not Verified,31-05-2011,Pay-off Other Loans,19.93285851,0,2/1/98,44,103,21,1,219235,0.553943599,43,0,1/8/14,35929.07244,1155,???
32501,131929,47 months,14.25%,3679.351811,CE,5 years,Other,824250,Not Verified,28-12-2009,Pay-off Other Loans,24.9519372,0,5/5/93,,,12,0,187180,0.941422795,42,0,1/10/13,4117.151811,2402,???
24921,110164,60 months,22.25%,3058.110023,GA,Less than 1 year,Rental,437473,Source Verified,17-09-2011,Agriculture,9.279565322,0,18-03-1999,44,,3,0,61521,0.997472826,9,0,1/9/15,3058.110023,2579,???
37696,27595,38 months,11.64%,871.7531555,BC,7 years,Under Mortgage,309410,Verified,30-01-2012,Pay-off Other Loans,18.48871553,0,21-02-2006,61,,5,0,28508,0.661402363,15,0,1/12/13,12815.66316,746,???
32881,61542,36 months,11.49%,2029.082894,BC,2 years,Rental,413073,Not Verified,27-06-2009,Pay Credit Card Bill,17.74892907,0,4/1/03,35,,13,0,48495,0.880416925,19,165.7298315,1/11/11,14024.03289,1210,???
27085,44200,39 months,10.16%,1335.52145,BD,2 years,Rental,436820,Not Verified,12/1/11,Pay-off Other Loans,19.77453167,1,4/10/05,17,,8,0,56972,0.501424475,21,0,1/3/14,1539.57145,3668,???
37399,230833,60 months,12.88%,5237.419634,CA,10 years and above,Under Mortgage,1096794,Verified,18-05-2011,Pay-off Other Loans,27.74623008,0,22-07-1995,,,7,0,488996,0.732237721,29,0,1/5/15,55269.70963,3934,???
38676,99064,45 months,12.58%,2772.803341,CA,3 years,Rental,389653,Not Verified,9/4/10,Pay-off Other Loans,20.1389665,0,26-03-2004,,,9,0,108779,0.36740037,10,0,1/11/13,3175.403341,2565,???
28874,109917,43 months,12.46%,3182.172384,CA,3 years,Rental,508419,Source Verified,27-08-2009,Pay-off Other Loans,8.94299031,0,7/5/04,,,10,0,101485,0.536484275,10,0,1/10/11,54166.84238,1785,???
32097,110021,60 months,10.57%,2368.399874,BB,10 years and above,Under Mortgage,608166,Verified,7/6/10,Others,9.496699583,0,13-07-1999,,,4,0,39399,0.26022848,17,0,1/5/15,2416.469874,2642,???
39009,43999,40 months,14.60%,1395.83489,DA,3 years,Rental,558440,Not Verified,26-11-2009,Pay-off Other Loans,10.06402804,0,29-08-2002,36,,5,0,16012,0.951123115,8,0,1/1/13,1468.32489,374,???
36559,32962,48 months,11.08%,853.1354933,BD,9 years,Rental,542362,Source Verified,25-05-2010,Others,11.01933443,0,30-05-2001,,,6,0,256756,0.880981679,13,0,1/3/14,1024.625493,1360,???
38637,55119,45 months,13.10%,1556.80462,DC,10 years and above,Under Mortgage,394461,Not Verified,23-04-2008,Others,25.86328228,0,15-09-1987,0,0,9,0,241002,1.038266209,29,0,1/3/09,1556.80462,1463,???
33405,87862,47 months,5.35%,2076.408993,AA,6 years,Under Mortgage,823925,Not Verified,22-03-2011,Others,5.172129962,0,7/10/99,,,8,0,40813,0.070832173,34,0,1/6/13,47931.22899,262,???
29522,33040,59 months,15.31%,800.3916713,DC,2 years,Rental,659159,Not Verified,14-04-2011,Purchase Car,11.67156747,0,6/11/07,,,7,0,15798,0.19716824,15,0,1/8/14,12947.91167,917,???
29478,44154,43 months,14.77%,1328.622883,DA,3 years,Rental,419234,Not Verified,9/12/09,Marriage,10.89298288,0,7/10/06,,,4,0,21210,0.469548347,8,0,1/5/13,1369.322883,1251,???
31062,165000,47 months,12.29%,4440.361352,BE,10 years and above,Under Mortgage,1640632,Source Verified,25-04-2009,Marriage,17.74806448,0,30-07-1987,38,,10,0,0,0,11,0,1/2/13,4545.301352,2423,???
39719,208864,44 months,10.74%,5763.720328,BB,5 years,Rental,570933,Source Verified,26-08-2010,Agriculture,12.17849093,0,26-03-2001,,,5,0,43763,0.331516124,13,0,1/7/13,42186.48033,2964,???
31522,98926,47 months,12.61%,2677.927124,BE,1 year,Rental,944562,Not Verified,2/10/11,Pay-off Other Loans,10.95596306,0,24-04-2003,35,,12,0,152064,0.81084578,33,0,1/1/15,22879.75712,3375,???
33682,98899,48 months,10.08%,2512.321235,BB,3 years,Rental,509006,Source Verified,3/4/11,Purchase Car,14.0615127,0,16-02-2000,25,,10,0,2495,0.069312696,23,0,1/8/12,16435.35124,1986,???
34408,109974,37 months,14.52%,3704.718249,CD,5 years,Rental,540083,Verified,14-08-2010,Buy House,15.83914832,0,24-02-2001,,,9,0,29987,0.199593358,14,0,1/11/12,36207.84825,3861,???
25071,164813,38 months,16.86%,5627.05456,EB,2 years,Under Mortgage,933374,Verified,6/8/10,Pay-off Other Loans,11.81676671,0,26-01-1998,31,,7,0,501585,0.963983053,22,0,1/6/13,17721.66456,1776,???
29136,77178,40 months,7.94%,2202.247836,AD,2 years,Rental,1065414,Not Verified,25-07-2011,Marriage,10.22766087,0,14-04-2008,,,8,0,33134,0.244456718,9,0,1/7/12,48499.26784,1246,???
30397,77059,47 months,7.41%,1893.82366,AC,6 years,Rental,413183,Source Verified,12/12/11,Pay Credit Card Bill,16.25662354,0,26-03-2005,,,10,0,62670,0.178521378,13,0,1/10/15,2018.01366,3625,???
35787,187157,48 months,13.36%,5054.600349,CD,10 years and above,Under Mortgage,626577,Verified,15-04-2009,Pay-off Other Loans,21.90515713,0,16-06-2000,,,9,0,50318,0.755810782,12,0,1/3/13,5157.560349,276,???
31357,71595,43 months,9.69%,1977.495213,AE,4 years,Rental,431070,Not Verified,1/2/09,Purchase Car,8.78494259,1,11/10/95,22,,12,0,41950,0.150179003,25,0,1/7/12,2113.785213,263,???
27942,330113,49 months,19.89%,9891.931617,FE,10 years and above,Own,817006,Verified,6/4/11,Pay-off Other Loans,19.98159491,0,8/11/86,25,,2,0,78611,0.875125492,21,0,1/10/10,9891.931617,2590,???
33659,43989,38 months,6.70%,1287.886466,AB,3 years,Under Mortgage,940771,Not Verified,13-06-2010,Purchase Car,12.60890769,0,24-04-1991,,,11,0,529494,0.059487008,27,0,1/6/13,1455.856466,2812,???
39793,219943,37 months,11.79%,7118.896849,BC,3 years,Rental,826503,Not Verified,14-02-2010,Marriage,6.931492058,0,21-11-2000,,,7,0,124307,0.489263165,17,0,1/3/12,76679.37685,3885,???
34526,83741,47 months,15.38%,2382.993965,CE,Less than 1 year,Under Mortgage,1584000,Not Verified,18-06-2011,Purchase Car,9.303352994,0,17-01-2002,39,,5,0,57482,0.971581614,12,0,1/4/15,2711.673965,3525,???
38745,88065,50 months,15.78%,2414.349455,DC,2 years,Rental,569849,Not Verified,17-08-2010,Pay-off Other Loans,9.664776772,0,2/2/03,,,6,0,67942,0.817245288,25,0,1/10/10,45962.68945,2342,???
28695,77030,37 months,13.83%,2569.018424,CE,10 years and above,Own,618254,Not Verified,18-07-2009,Others,21.97760202,0,18-11-1996,,,7,0,34958,0.454139968,25,0,1/2/12,12840.15842,3282,???
33769,131900,45 months,11.67%,3633.095963,BB,Less than 1 year,Rental,327943,Not Verified,7/12/09,Agriculture,2.659271471,0,2/11/95,,,11,0,93608,0.159362271,13,0,1/7/13,3956.275963,3737,???
36611,82601,46 months,11.99%,2248.471323,BE,10 years and above,Rental,323121,Verified,24-10-2010,Agriculture,3.086881558,0,29-08-1998,,,4,0,15732,0.132574838,17,0,1/6/13,2248.471323,1777,???
30582,77129,41 months,8.63%,2179.004338,AE,4 years,Under Mortgage,824101,Verified,1/8/11,Marriage,26.76485397,0,28-08-1995,,,20,0,85894,0.315491071,29,0,1/12/14,2365.014338,1256,???
39912,173929,50 months,16.21%,4807.220702,DE,5 years,Under Mortgage,411317,Verified,11/11/10,Pay-off Other Loans,15.45763487,0,30-12-2005,,,7,0,103888,0.470939553,12,0,1/1/10,174856.3307,1331,???
40232,112063,46 months,9.06%,2892.683978,AE,10 years and above,Under Mortgage,605526,Not Verified,3/12/09,Pay-off Other Loans,8.009043225,0,14-08-1994,66,,6,0,144096,0.400599445,19,0,1/4/12,59786.44398,3025,???
39957,121077,42 months,16.93%,3840.53615,DD,7 years,Under Mortgage,547107,Source Verified,13-09-2011,Agriculture,15.43631572,1,18-11-2001,11,,9,0,129642,0.841818955,19,0,1/1/15,4120.04615,3787,???
31181,65943,39 months,11.29%,2027.93252,BC,7 years,Rental,741547.84,Verified,5/11/10,Pay-off Other Loans,16.65156115,0,23-10-1997,61,,7,0,6013,0.141128513,22,176.2705051,1/5/13,2280.60252,726,???
32178,77659,46 months,17.42%,2326.076472,DD,3 years,Own,687644,Verified,21-10-2011,Pay-off Other Loans,15.67092576,0,5/9/02,,98,10,1,72274,0.967137324,24,490.1978852,1/6/14,2326.076472,3246,???
32164,60621,53 months,18.62%,1686.182152,FB,2 years,Rental,237743,Source Verified,19-09-2010,Pay-off Other Loans,17.47085839,0,9/10/03,,,8,0,48954,0.413791482,13,0,1/10/11,305.6821517,3756,???
34374,35124,41 months,9.63%,1008.661623,AE,Less than 1 year,Rental,207305,Source Verified,17-07-2009,Education,20.27539087,0,19-12-2004,,,4,0,327,0.00462353,5,0,1/10/12,1081.261623,2218,???
25216,329948,47 months,9.01%,8358.325131,AE,9 years,Under Mortgage,1647383,Source Verified,15-12-2011,Pay-off Other Loans,15.66346379,0,18-12-1988,,,18,0,287104,0.245013388,50,0,1/11/14,109264.5151,986,???
28337,231006,57 months,16.63%,5888.652492,EB,2 years,Under Mortgage,886415,Verified,4/3/11,Pay-off Other Loans,13.26375063,0,13-03-1992,,,7,0,94104,0.940233495,16,0,1/3/13,152937.5325,1746,???
30935,99014,40 months,11.44%,2988.741587,BD,1 year,Rental,673124,Not Verified,14-10-2011,Pay-off Other Loans,15.7975813,0,9/2/03,,,9,0,105640,0.718793152,31,0,1/12/12,70320.18159,3052,???
37867,198069,47 months,7.71%,4895.562084,AD,10 years and above,Under Mortgage,1695529,Verified,11/7/10,Pay-off Other Loans,9.517599403,0,19-05-1993,,,12,0,332127,0.134217605,31,0,1/11/13,41222.29208,524,???
25430,27687,43 months,15.31%,840.5719077,CD,Less than 1 year,Rental,442185,Source Verified,22-12-2011,Others,21.79817924,2,5/9/00,17,,15,0,61053,0.573002401,28,0,1/5/13,21226.10191,2892,???
33837,72647,44 months,12.64%,2071.592107,CA,6 years,Under Mortgage,353489,Source Verified,7/6/10,Pay-off Other Loans,13.42507977,0,27-05-1999,,59,11,1,48429,0.285828868,13,0,1/7/11,62686.10211,947,???
39052,220164,60 months,17.94%,5583.825516,EA,10 years and above,Under Mortgage,1536824,Verified,3/8/11,Pay-off Other Loans,14.35407847,0,11/2/99,,,23,0,479929,0.944297968,40,0,1/3/15,5583.825516,1815,???
33358,165151,47 months,11.40%,4373.268642,BC,10 years and above,Under Mortgage,1319668,Not Verified,2/2/09,Pay-off Other Loans,14.83193783,1,14-02-1982,17,,10,0,2004091,0.489928433,32,0,1/1/11,116286.0586,179,???
36485,70442,43 months,14.71%,2117.518671,CD,7 years,Under Mortgage,698090,Not Verified,29-07-2011,Pay-off Other Loans,11.6725316,0,26-10-1996,64,,13,0,110826,0.71527327,25,0,1/1/15,2303.748671,724,???
28379,164811,48 months,6.81%,3932.142587,AB,Not available,Rental,341732,Verified,21-12-2011,Others,8.637659904,0,30-11-1992,,,12,0,4325,0.015290123,31,0,1/7/13,135074.6926,2771,???
31753,82398,42 months,12.70%,2440.282829,CA,Less than 1 year,Rental,489203,Not Verified,3/3/10,Pay-off Other Loans,16.88010372,0,19-12-2003,,,5,0,68376,0.732305606,14,0,1/8/13,2811.202829,200,???
37897,82301,36 months,15.41%,2869.367302,DE,5 years,Rental,826428,Verified,13-08-2009,Pay-off Other Loans,6.779873634,0,2/12/93,,86,6,1,284110,0.954631065,29,0,1/12/11,19454.9473,3123,???
39640,256467,60 months,13.44%,5893.568162,CB,10 years and above,Rental,492363,Verified,12/6/11,Buy House,25.33910419,0,29-06-1995,,,8,0,162275,0.521179366,11,0,1/9/15,5893.568162,988,???
28549,38700,44 months,12.14%,1094.177174,CD,Less than 1 year,Under Mortgage,244195,Not Verified,31-05-2008,Others,26.56853875,0,6/1/73,,,5,0,17276,0.109049118,8,0,1/12/11,20.68,2934,???
39304,176185,46 months,12.47%,4837.479171,DA,5 years,Under Mortgage,896606,Not Verified,21-02-2008,Pay Credit Card Bill,15.80579014,0,17-12-1990,0,0,18,0,371891,0.881358247,44,0,1/2/09,4837.479171,3738,???
30645,71447,46 months,10.91%,1907.54288,BD,1 year,Rental,414971,Not Verified,13-04-2010,Agriculture,5.000205698,0,29-12-2005,,,7,0,33086,0.140968629,10,0,1/12/13,2345.67288,3120,???
26665,103566,60 months,14.36%,2429.42601,CB,Less than 1 year,Under Mortgage,691180,Source Verified,13-12-2011,Pay-off Other Loans,24.57418792,0,7/7/96,77,,13,0,219049,0.464322553,24,0,1/9/15,2429.42601,2383,???
28351,76852,37 months,7.43%,2330.378726,AD,3 years,Rental,709089,Not Verified,21-10-2010,Pay-off Other Loans,11.24584807,0,29-09-2003,,,9,0,75295,0.332812472,15,0,1/10/12,6710.248726,3111,???
31356,54943,42 months,6.05%,1454.867015,AA,Not available,Own,283587,Verified,20-12-2011,Pay-off Other Loans,29.51207916,0,23-05-1964,,,13,0,243984,0.137255343,25,0,1/4/15,1480.387015,1046,???
27409,109955,36 months,8.26%,3458.671249,AD,4 years,Rental,433035,Not Verified,12/4/08,Pay-off Other Loans,14.78657059,0,7/10/92,,,7,0,51898,0.290479686,18,225.44,1/2/10,216.8612493,2698,???
26638,132032,53 months,18.39%,3656.084743,FA,3 years,Rental,740108,Source Verified,23-03-2011,Purchase Car,11.8933927,8,3/4/97,15,99,7,1,25692,0.652842511,15,0,1/4/11,3656.084743,1044,???
27704,131954,55 months,18.77%,3594.668938,EA,4 years,Rental,908946,Not Verified,21-11-2011,Pay-off Other Loans,11.12207334,0,26-05-1980,,,12,0,293755,0.907812368,17,0,1/6/13,3594.668938,3680,???
30620,131816,45 months,11.80%,3639.34029,BC,9 years,Rental,423312,Not Verified,6/10/11,Pay Credit Card Bill,18.80273978,0,17-09-1992,77,,11,0,158645,0.729621422,16,0,1/6/15,3950.75029,3497,???
25735,158483,48 months,12.74%,4231.171406,BE,1 year,Rental,680347,Not Verified,17-11-2009,Purchase Car,3.353631342,0,21-02-2005,,,4,0,4394,0.168341258,4,0,1/9/11,44476.65141,2746,???
26581,110179,45 months,14.34%,3179.955854,CE,7 years,Rental,368225,Not Verified,18-04-2010,Pay-off Other Loans,17.44759023,0,15-05-2006,,,6,0,103727,0.777248827,9,0,1/8/12,58003.18585,3255,???
33311,46371,39 months,13.37%,1472.377015,EA,1 year,Under Mortgage,335020,Not Verified,5/1/08,Pay-off Other Loans,12.71929286,0,18-04-1998,52,0,10,0,24334,0.866355054,22,163.895709,1/2/11,1502.627015,743,???
26904,27380,58 months,9.52%,590.8767251,BC,10 years and above,Under Mortgage,664209,Verified,11/12/10,Pay-off Other Loans,20.66231629,0,11/5/99,,,8,0,277763,0.58287983,25,0,1/6/11,24414.78673,3369,???
27874,105580,60 months,15.54%,2542.035333,DD,10 years and above,Under Mortgage,1073138,Verified,14-06-2011,Medical,17.57255549,0,22-01-1986,82,,15,0,336377,0.722745878,33,0,1/9/15,2542.035333,1411,???
34497,26289,46 months,13.39%,733.7311302,DD,2 years,Rental,284552,Verified,15-08-2008,Others,22.89216194,0,18-07-2007,,,6,0,5279,0.217962483,6,0,1/4/12,733.5111302,1631,???
25623,55125,60 months,14.69%,1302.42447,CD,Less than 1 year,Rental,354204,Verified,30-07-2011,Pay-off Other Loans,14.28073075,0,15-04-2001,32,,10,0,76461,0.659441357,25,0,1/8/15,13581.06447,207,???
26701,54856,44 months,7.33%,1425.60984,AC,1 year,Rental,524874,Verified,22-09-2010,Pay-off Other Loans,14.60091177,0,23-06-1997,,,11,0,74781,0.219299853,24,0,1/4/14,1523.39984,2855,???
36239,96634,60 months,14.86%,2291.611481,DB,4 years,Under Mortgage,1208517,Verified,7/3/11,Pay-off Other Loans,19.26636138,1,22-07-1994,6,,23,0,877656,0.265188132,38,0,1/9/15,2291.611481,2422,???
30600,181383,40 months,8.82%,5250.678334,AE,10 years and above,Rental,533256,Not Verified,3/1/12,Pay Credit Card Bill,13.11956406,0,6/10/00,,,9,0,234816,0.855483945,28,0,1/8/13,107109.9083,1486,???
28063,99039,36 months,6.49%,3035.176659,AB,10 years and above,Under Mortgage,1075837,Source Verified,19-12-2011,Pay-off Other Loans,13.31267488,0,22-05-1993,,,15,0,76357,0.7609664,44,0,1/11/14,3180.486659,1906,???
37538,212266,54 months,15.43%,5476.013595,DC,9 years,Own,417901,Verified,10/5/11,Pay-off Other Loans,17.84566549,0,30-12-2000,42,,5,0,87750,0.54929595,19,0,1/5/14,5476.013595,518,???
32721,99144,41 months,6.11%,2685.247939,AB,7 years,Own,750166,Not Verified,10/8/11,Pay-off Other Loans,26.61163616,0,25-10-1995,,,12,0,181367,0.256041018,46,0,1/4/13,57161.20794,69,???
